Funktionsname,Component
GMImage.MatteFloodfill,GraphicsMagick
GMImage.MeanErrorPerPixel,GraphicsMagick
GMImage.MedianFilter,GraphicsMagick
GMImage.Minify,GraphicsMagick
GMImage.Modulate,GraphicsMagick
GMImage.MontageGeometry,GraphicsMagick
GMImage.MotionBlur,GraphicsMagick
GMImage.MultiplyChannel,GraphicsMagick
GMImage.Negate,GraphicsMagick
GMImage.New,GraphicsMagick
GMImage.NewFromBase64,GraphicsMagick
GMImage.NewFromContainer,GraphicsMagick
GMImage.NewFromFile,GraphicsMagick
GMImage.NewFromHex,GraphicsMagick
GMImage.NewImagesFromContainer,GraphicsMagick
GMImage.NewImagesFromFile,GraphicsMagick
GMImage.Normalize,GraphicsMagick
GMImage.NormalizedMaxError,GraphicsMagick
GMImage.NormalizedMeanError,GraphicsMagick
GMImage.OilPaint,GraphicsMagick
GMImage.Opacity,GraphicsMagick
GMImage.Opaque,GraphicsMagick
GMImage.Ping,GraphicsMagick
GMImage.PingContainer,GraphicsMagick
GMImage.PopClipPath,GraphicsMagick
GMImage.PurgeTemporaryFiles,GraphicsMagick
GMImage.PushClipPath,GraphicsMagick
GMImage.Quantize,GraphicsMagick
GMImage.QuantumDepth,GraphicsMagick
GMImage.Raise,GraphicsMagick
GMImage.RandomThreshold,GraphicsMagick
GMImage.RandomThresholdChannel,GraphicsMagick
GMImage.Read,GraphicsMagick
GMImage.ReadContainer,GraphicsMagick
GMImage.ReduceNoise,GraphicsMagick
GMImage.Release,GraphicsMagick
GMImage.ReleaseAll,GraphicsMagick
GMImage.Repage,GraphicsMagick
GMImage.ReplaceColor,GraphicsMagick
GMImage.Resize,GraphicsMagick
GMImage.Roll,GraphicsMagick
GMImage.Rollxy,GraphicsMagick
GMImage.Rotate,GraphicsMagick
GMImage.Rotating,GraphicsMagick
GMImage.Rows,GraphicsMagick
GMImage.Sample,GraphicsMagick
GMImage.Scale,GraphicsMagick
GMImage.Scaling,GraphicsMagick
GMImage.Segment,GraphicsMagick
GMImage.SetAdjoin,GraphicsMagick
GMImage.SetAnimationDelay,GraphicsMagick
GMImage.SetAnimationIterations,GraphicsMagick
GMImage.SetAntiAlias,GraphicsMagick
GMImage.SetAttribute,GraphicsMagick
GMImage.SetBackgroundColor,GraphicsMagick
GMImage.SetBackgroundTexture,GraphicsMagick
GMImage.SetBorderColor,GraphicsMagick
GMImage.SetBoxColor,GraphicsMagick
GMImage.SetCacheThreshold,GraphicsMagick
GMImage.SetClassType,GraphicsMagick
GMImage.SetColorFuzz,GraphicsMagick
GMImage.SetColorMapSize,GraphicsMagick
GMImage.SetColorSpace,GraphicsMagick
GMImage.SetComment,GraphicsMagick
GMImage.SetCompose,GraphicsMagick
GMImage.SetCompressType,GraphicsMagick
GMImage.SetDebug,GraphicsMagick
GMImage.SetDefineSet,GraphicsMagick
GMImage.SetDefineValue,GraphicsMagick
GMImage.SetDensity,GraphicsMagick
GMImage.SetDepth,GraphicsMagick
GMImage.SetEXIFOrientation,GraphicsMagick
GMImage.SetEndian,GraphicsMagick
GMImage.SetFileName,GraphicsMagick
GMImage.SetFillColor,GraphicsMagick
GMImage.SetFillRule,GraphicsMagick
GMImage.SetFilterType,GraphicsMagick
GMImage.SetFont,GraphicsMagick
GMImage.SetFontFamily,GraphicsMagick
GMImage.SetFontPointSize,GraphicsMagick
GMImage.SetFontStretch,GraphicsMagick
GMImage.SetFontStyle,GraphicsMagick
GMImage.SetFontWeight,GraphicsMagick
GMImage.SetGifDisposeMethod,GraphicsMagick
GMImage.SetICCColorProfile,GraphicsMagick
GMImage.SetIPTCProfile,GraphicsMagick
GMImage.SetInterlaceType,GraphicsMagick
GMImage.SetIsValid,GraphicsMagick
GMImage.SetLabel,GraphicsMagick
GMImage.SetLineWidth,GraphicsMagick
GMImage.SetLogEventMask,GraphicsMagick
GMImage.SetMagick,GraphicsMagick
GMImage.SetMatte,GraphicsMagick
GMImage.SetMatteColor,GraphicsMagick
GMImage.SetModulusDepth,GraphicsMagick
GMImage.SetMonochrome,GraphicsMagick
GMImage.SetOrientation,GraphicsMagick
GMImage.SetPage,GraphicsMagick
GMImage.SetPixelColor,GraphicsMagick
GMImage.SetProfile,GraphicsMagick
GMImage.SetQuality,GraphicsMagick
GMImage.SetQuantizeColorSpace,GraphicsMagick
GMImage.SetQuantizeColors,GraphicsMagick
GMImage.SetQuantizeDither,GraphicsMagick
GMImage.SetQuantizeTreeDepth,GraphicsMagick
GMImage.SetQuiet,GraphicsMagick
GMImage.SetRenderingIntent,GraphicsMagick
GMImage.SetResolutionUnits,GraphicsMagick
GMImage.SetScene,GraphicsMagick
GMImage.SetSize,GraphicsMagick
GMImage.SetStrokeAntiAlias,GraphicsMagick
GMImage.SetStrokeColor,GraphicsMagick
GMImage.SetStrokeDashArray,GraphicsMagick
GMImage.SetStrokeDashOffset,GraphicsMagick
GMImage.SetStrokeLineCap,GraphicsMagick
GMImage.SetStrokeLineJoin,GraphicsMagick
GMImage.SetStrokeMiterLimit,GraphicsMagick
GMImage.SetStrokeWidth,GraphicsMagick
GMImage.SetSubImage,GraphicsMagick
GMImage.SetSubRange,GraphicsMagick
GMImage.SetTextEncoding,GraphicsMagick
GMImage.SetTileName,GraphicsMagick
GMImage.SetType,GraphicsMagick
GMImage.SetVerbose,GraphicsMagick
GMImage.SetView,GraphicsMagick
GMImage.SetXMP,GraphicsMagick
GMImage.SetChannelDepth,GraphicsMagick
GMImage.SetColorMap,GraphicsMagick
GMImage.Shade,GraphicsMagick
GMImage.Sharpen,GraphicsMagick
GMImage.SharpenChannel,GraphicsMagick
GMImage.Shave,GraphicsMagick
GMImage.Shear,GraphicsMagick
GMImage.Signature,GraphicsMagick
GMImage.SkewX,GraphicsMagick
GMImage.SkewY,GraphicsMagick
GMImage.Solarize,GraphicsMagick
GMImage.Spread,GraphicsMagick
GMImage.Statistics,GraphicsMagick
GMImage.Stegano,GraphicsMagick
GMImage.Stereo,GraphicsMagick
GMImage.Strip,GraphicsMagick
GMImage.StrokePattern,GraphicsMagick
GMImage.Swirl,GraphicsMagick
GMImage.Texture,GraphicsMagick
GMImage.Threshold,GraphicsMagick
GMImage.TotalColors,GraphicsMagick
GMImage.Transform,GraphicsMagick
GMImage.TransformOrigin,GraphicsMagick
GMImage.TransformReset,GraphicsMagick
GMImage.TransformRotation,GraphicsMagick
GMImage.TransformScale,GraphicsMagick
GMImage.TransformSkewX,GraphicsMagick
GMImage.TransformSkewY,GraphicsMagick
GMImage.Translation,GraphicsMagick
GMImage.Transparent,GraphicsMagick
GMImage.Trim,GraphicsMagick
GMImage.Unsharpmask,GraphicsMagick
GMImage.UnsharpmaskChannel,GraphicsMagick
GMImage.Wave,GraphicsMagick
GMImage.WriteImages,GraphicsMagick
GMImage.WriteToBMPContainer,GraphicsMagick
GMImage.WriteToContainer,GraphicsMagick
GMImage.WriteToFile,GraphicsMagick
GMImage.WriteToGIFContainer,GraphicsMagick
GMImage.WriteToJPEGContainer,GraphicsMagick
GMImage.WriteToPDFContainer,GraphicsMagick
GMImage.WriteToPNGContainer,GraphicsMagick
GMImage.WriteToTiffContainer,GraphicsMagick
GMImage.WriteToWebPContainer,GraphicsMagick
GMImage.XResolution,GraphicsMagick
GMImage.YResolution,GraphicsMagick
GMImage.Zoom,GraphicsMagick
GZipFile.Compress,Compression
GZipFile.Decompress,Compression
GetSystemUIMode,SystemUIMode
GetSystemUIModeOptions,SystemUIMode
HadErrors,Plugin
IKDeviceBrowserPanel.Close,ImageCapture
IKDeviceBrowserPanel.GetCancelButtonLabel,ImageCapture
IKDeviceBrowserPanel.GetDisplaysLocalCameras,ImageCapture
IKDeviceBrowserPanel.GetDisplaysLocalScanners,ImageCapture
IKDeviceBrowserPanel.GetDisplaysNetworkCameras,ImageCapture
IKDeviceBrowserPanel.GetDisplaysNetworkScanners,ImageCapture
IKDeviceBrowserPanel.GetHeight,ImageCapture
IKDeviceBrowserPanel.GetMode,ImageCapture
IKDeviceBrowserPanel.GetPrompt,ImageCapture
IKDeviceBrowserPanel.GetSelectButtonLabel,ImageCapture
IKDeviceBrowserPanel.GetWidth,ImageCapture
IKDeviceBrowserPanel.GetWindowTitle,ImageCapture
IKDeviceBrowserPanel.Hide,ImageCapture
IKDeviceBrowserPanel.Reset,ImageCapture
IKDeviceBrowserPanel.SelectedDeviceID,ImageCapture
IKDeviceBrowserPanel.SelectedDeviceName,ImageCapture
IKDeviceBrowserPanel.SetCancelButtonLabel,ImageCapture
IKDeviceBrowserPanel.SetDisplaysLocalCameras,ImageCapture
IKDeviceBrowserPanel.SetDisplaysLocalScanners,ImageCapture
IKDeviceBrowserPanel.SetDisplaysNetworkCameras,ImageCapture
IKDeviceBrowserPanel.SetDisplaysNetworkScanners,ImageCapture
IKDeviceBrowserPanel.SetHeight,ImageCapture
IKDeviceBrowserPanel.SetMode,ImageCapture
IKDeviceBrowserPanel.SetPrompt,ImageCapture
IKDeviceBrowserPanel.SetSelectButtonLabel,ImageCapture
IKDeviceBrowserPanel.SetTrigger,ImageCapture
IKDeviceBrowserPanel.SetWidth,ImageCapture
IKDeviceBrowserPanel.SetWindowTitle,ImageCapture
IKDeviceBrowserPanel.Show,ImageCapture
IKDeviceBrowserPanel.Visible,ImageCapture
IKScannerDevicePanel.ClearImage,ImageCapture
IKScannerDevicePanel.Close,ImageCapture
IKScannerDevicePanel.GetCombine,ImageCapture
IKScannerDevicePanel.GetDocumentName,ImageCapture
IKScannerDevicePanel.GetDownloadsDirectory,ImageCapture
IKScannerDevicePanel.GetHeight,ImageCapture
IKScannerDevicePanel.GetMode,ImageCapture
IKScannerDevicePanel.GetOverviewControlLabel,ImageCapture
IKScannerDevicePanel.GetScanControlLabel,ImageCapture
IKScannerDevicePanel.GetScannerDeviceID,ImageCapture
IKScannerDevicePanel.GetScannerDeviceName,ImageCapture
IKScannerDevicePanel.GetWidth,ImageCapture
IKScannerDevicePanel.GetWindowTitle,ImageCapture
IKScannerDevicePanel.Hide,ImageCapture
IKScannerDevicePanel.ImageCount,ImageCapture
IKScannerDevicePanel.NextImage,ImageCapture
IKScannerDevicePanel.Reset,ImageCapture
IKScannerDevicePanel.SetCloseTrigger,ImageCapture
IKScannerDevicePanel.SetCombine,ImageCapture
IKScannerDevicePanel.SetDocumentName,ImageCapture
IKScannerDevicePanel.SetDownloadsDirectory,ImageCapture
IKScannerDevicePanel.SetHeight,ImageCapture
IKScannerDevicePanel.SetMode,ImageCapture
IKScannerDevicePanel.SetOverviewControlLabel,ImageCapture
IKScannerDevicePanel.SetScanControlLabel,ImageCapture
IKScannerDevicePanel.SetScannerDeviceID,ImageCapture
IKScannerDevicePanel.SetScannerDeviceName,ImageCapture
IKScannerDevicePanel.SetTrigger,ImageCapture
IKScannerDevicePanel.SetWidth,ImageCapture
IKScannerDevicePanel.SetWindowTitle,ImageCapture
IKScannerDevicePanel.Show,ImageCapture
IKScannerDevicePanel.Visible,ImageCapture
Icon.ClearIcon,QuickLook
Icon.GetIcon,QuickLook
Icon.GetIconWithQuickLook,QuickLook
Icon.SetIcon,QuickLook
Is64bit,Plugin
IsClient,Plugin
IsError,Plugin
IsIOS,Plugin
IsIOSDevice,Plugin
IsIOSSimulator,Plugin
IsLinux,Plugin
IsMacOS,Plugin
IsMobile,Plugin
IsRegistered,Plugin
IsRuntime,Plugin
IsServer,Plugin
IsWindows,Plugin
JS.AddFileMakerEvaluateFunction,JavaScript
JS.AddFileMakerRunScriptFunction,JavaScript
JS.AddFileMakerSQLFunction,JavaScript
JS.AddFunction,JavaScript
JS.CF,JavaScript
JS.CallFunction,JavaScript
JS.CallFunctionValues,JavaScript
JS.Evaluate,JavaScript
JS.EvaluateToString,JavaScript
JS.GetGlobalProperty,JavaScript
JS.GetGlobalPropertyValue,JavaScript
JS.InitModules,JavaScript
JS.List,JavaScript
JS.New,JavaScript
JS.Now,JavaScript
JS.ObjectCount,JavaScript
JS.Release,JavaScript
JS.ReleaseAll,JavaScript
JS.SetGlobalProperty,JavaScript
JS.SetGlobalPropertyValue,JavaScript
JS.StringCount,JavaScript
JS.TimeToDateComponents,JavaScript
JS.TimeToUTCDate,JavaScript
JS.UTCDateToTime,JavaScript
JavaScript.Available,JavaScriptWebKit
JavaScript.CF,JavaScriptWebKit
JavaScript.CallFunction,JavaScriptWebKit
JavaScript.CheckScriptSyntax,JavaScriptWebKit
JavaScript.EvaluateScript,JavaScriptWebKit
JavaScript.GetProperty,JavaScriptWebKit
JavaScript.GetPropertyJSON,JavaScriptWebKit
JavaScript.HasProperty,JavaScriptWebKit
JavaScript.List,JavaScriptWebKit
JavaScript.LoadLibrary,JavaScriptWebKit
JavaScript.New,JavaScriptWebKit
JavaScript.RegisterEvaluateFunction,JavaScriptWebKit
JavaScript.RegisterFunction,JavaScriptWebKit
JavaScript.RegisterRunScriptFunction,JavaScriptWebKit
JavaScript.RegisterSQLQueryFunction,JavaScriptWebKit
JavaScript.Release,JavaScriptWebKit
JavaScript.ReleaseAll,JavaScriptWebKit
JavaScript.SetProperty,JavaScriptWebKit
JavaScript.SetPropertyJSON,JavaScriptWebKit
LCMS.ProfileInfo,Utility
Log,Utility
MenuItem.CreateMenuItem,Menu
MenuItem.CreateSeparator,Menu
MenuItem.GetAlternate,Menu
MenuItem.GetAttributedTitle,Menu
MenuItem.GetBackColor,Menu
MenuItem.GetBold,Menu
MenuItem.GetEnabled,Menu
MenuItem.GetEvaluate,Menu
MenuItem.GetFontColor,Menu
MenuItem.GetFontName,Menu
MenuItem.GetFontSize,Menu
MenuItem.GetGroupID,Menu
MenuItem.GetHidden,Menu
MenuItem.GetImage,Menu
MenuItem.GetItalic,Menu
MenuItem.GetKeyEquivalent,Menu
MenuItem.GetKeyEquivalentModifierMask,Menu
MenuItem.GetMixedStateImage,Menu
MenuItem.GetOffStateImage,Menu
MenuItem.GetOnStateImage,Menu
MenuItem.GetParentItem,Menu
MenuItem.GetParentMenu,Menu
MenuItem.GetPath,Menu
MenuItem.GetRequireCommand,Menu
MenuItem.GetRequireControl,Menu
MenuItem.GetRequireOption,Menu
MenuItem.GetRequireShift,Menu
MenuItem.GetScriptFileName,Menu
MenuItem.GetScriptName,Menu
MenuItem.GetSelectable,Menu
MenuItem.GetState,Menu
MenuItem.GetStrikeOut,Menu
MenuItem.GetSubMenu,Menu
MenuItem.GetTag,Menu
MenuItem.GetTitle,Menu
MenuItem.GetToolTip,Menu
MenuItem.GetURL,Menu
MenuItem.GetUnderline,Menu
MenuItem.GetUserKeyEquivalent,Menu
MenuItem.HasSubmenu,Menu
MenuItem.IsSeparatorItem,Menu
MenuItem.List,Menu
MenuItem.Release,Menu
MenuItem.ReleaseAll,Menu
MenuItem.SetAlternate,Menu
MenuItem.SetAttributedTitle,Menu
MenuItem.SetBackColor,Menu
MenuItem.SetBold,Menu
MenuItem.SetEnabled,Menu
